"filename", "language", "TypeScript", "JSON", "XML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "PostCSS", "Properties", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\github\pecus-aspire\pecus.Frontend\.spec\open-api-scheme.json", "JSON", 0, 8239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8239
"d:\github\pecus-aspire\pecus.Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 25, 72
"d:\github\pecus-aspire\pecus.Frontend\biome.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"d:\github\pecus-aspire\pecus.Frontend\docs\middleware-authentication.md", "Markdown", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 61, 263
"d:\github\pecus-aspire\pecus.Frontend\global.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\github\pecus-aspire\pecus.Frontend\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\github\pecus-aspire\pecus.Frontend\openapitools.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\github\pecus-aspire\pecus.Frontend\package-lock.json", "JSON", 0, 6475, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6476
"d:\github\pecus-aspire\pecus.Frontend\package.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\github\pecus-aspire\pecus.Frontend\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\github\pecus-aspire\pecus.Frontend\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\github\pecus-aspire\pecus.Frontend\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\github\pecus-aspire\pecus.Frontend\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\github\pecus-aspire\pecus.Frontend\public\scripts\flyonui.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 179, 0, 206
"d:\github\pecus-aspire\pecus.Frontend\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\github\pecus-aspire\pecus.Frontend\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\github\pecus-aspire\pecus.Frontend\scripts\generate-pecus-api-client.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 19, 103
"d:\github\pecus-aspire\pecus.Frontend\src\actions\README.md", "Markdown", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 45, 169
"d:\github\pecus-aspire\pecus.Frontend\src\actions\admin\organization.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 42
"d:\github\pecus-aspire\pecus.Frontend\src\actions\admin\user.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 102
"d:\github\pecus-aspire\pecus.Frontend\src\actions\admin\workspace.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 123
"d:\github\pecus-aspire\pecus.Frontend\src\actions\auth.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 73
"d:\github\pecus-aspire\pecus.Frontend\src\actions\master.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 22
"d:\github\pecus-aspire\pecus.Frontend\src\actions\profile.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 45
"d:\github\pecus-aspire\pecus.Frontend\src\actions\types.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 12
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\DashboardClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 0, 6, 12, 181
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\AdminClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 3, 26, 216
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 7, 9, 85
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\skills\AdminSkillsClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 9, 22, 259
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\skills\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 6, 39
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\tags\AdminTagsClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 7, 13, 179
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\tags\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 5, 38
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\users\AdminUsersClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 308, 0, 0, 14, 25, 347
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 6, 9, 106
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\workspaces\AdminWorkspacesClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 418, 0, 0, 20, 30, 468
"d:\github\pecus-aspire\pecus.Frontend\src\app\(dashbord)\admin\workspaces\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 6, 8, 77
