Date : 2025-10-31 18:22:28
Directory : d:\github\pecus-aspire\pecus.Frontend
Total : 187 files,  23554 codes, 3080 comments, 855 blanks, all 27489 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     14,843 |          0 |          3 |     14,846 |
| TypeScript         |        138 |      5,488 |      2,793 |        404 |      8,685 |
| TypeScript JSX     |         26 |      2,579 |        107 |        268 |      2,954 |
| Markdown           |          3 |        373 |          0 |        131 |        504 |
| PostCSS            |          5 |        122 |          1 |         27 |        150 |
| JavaScript         |          3 |        115 |        179 |         21 |        315 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| XML                |          5 |          5 |          0 |          0 |          5 |
| Properties         |          1 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        187 |     23,554 |      3,080 |        855 |     27,489 |
| . (Files)                                                                                                                          |         10 |      6,696 |          2 |         36 |      6,734 |
| .spec                                                                                                                              |          1 |      8,239 |          0 |          0 |      8,239 |
| docs                                                                                                                               |          1 |        202 |          0 |         61 |        263 |
| public                                                                                                                             |          6 |         32 |        179 |          0 |        211 |
| public (Files)                                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| public\scripts                                                                                                                     |          1 |         27 |        179 |          0 |        206 |
| scripts                                                                                                                            |          1 |         84 |          0 |         19 |        103 |
| src                                                                                                                                |        168 |      8,301 |      2,899 |        739 |     11,939 |
| src (Files)                                                                                                                        |          1 |         77 |         28 |         17 |        122 |
| src\actions                                                                                                                        |          8 |        437 |         67 |         84 |        588 |
| src\actions (Files)                                                                                                                |          5 |        229 |         28 |         64 |        321 |
| src\actions\admin                                                                                                                  |          3 |        208 |         39 |         20 |        267 |
| src\app                                                                                                                            |         17 |      1,980 |         81 |        202 |      2,263 |
| src\app (Files)                                                                                                                    |          2 |         42 |          0 |          9 |         51 |
| src\app\(dashbord)                                                                                                                 |         12 |      1,789 |         81 |        172 |      2,042 |
| src\app\(dashbord) (Files)                                                                                                         |          2 |        202 |          7 |         19 |        228 |
| src\app\(dashbord)\admin                                                                                                           |         10 |      1,587 |         74 |        153 |      1,814 |
| src\app\(dashbord)\admin (Files)                                                                                                   |          2 |        256 |         10 |         35 |        301 |
| src\app\(dashbord)\admin\skills                                                                                                    |          2 |        260 |         10 |         28 |        298 |
| src\app\(dashbord)\admin\tags                                                                                                      |          2 |        191 |          8 |         18 |        217 |
| src\app\(dashbord)\admin\users                                                                                                     |          2 |        399 |         20 |         34 |        453 |
| src\app\(dashbord)\admin\workspaces                                                                                                |          2 |        481 |         26 |         38 |        545 |
| src\app\(entrance)                                                                                                                 |          1 |        106 |          0 |         12 |        118 |
| src\app\(entrance)\signin                                                                                                          |          1 |        106 |          0 |         12 |        118 |
| src\app\api                                                                                                                        |          2 |         43 |          0 |          9 |         52 |
| src\app\api\admin                                                                                                                  |          2 |         43 |          0 |          9 |         52 |
| src\app\api\admin\users                                                                                                            |          1 |         26 |          0 |          5 |         31 |
| src\app\api\admin\workspaces                                                                                                       |          1 |         17 |          0 |          4 |         21 |
| src\components                                                                                                                     |         17 |      2,667 |         26 |         97 |      2,790 |
| src\components\admin                                                                                                               |          3 |        129 |          0 |          9 |        138 |
| src\components\client                                                                                                              |         12 |      2,428 |         20 |         76 |      2,524 |
| src\components\client\widgets                                                                                                      |         12 |      2,428 |         20 |         76 |      2,524 |
| src\components\client\widgets (Files)                                                                                              |          2 |      1,996 |         17 |         19 |      2,032 |
| src\components\client\widgets\editor                                                                                               |          2 |        227 |          2 |         27 |        256 |
| src\components\client\widgets\treeView                                                                                             |          8 |        205 |          1 |         30 |        236 |
| src\components\common                                                                                                              |          1 |         61 |          6 |          5 |         72 |
| src\components\dashboard                                                                                                           |          1 |         49 |          0 |          7 |         56 |
