"filename", "language", "XML", "C#", "ASP.NET Razor", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Libs\DB\ApplicationDbContext.cs", "C#", 0, -341, 0, -103, -73, -517
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Genre.cs", "C#", 0, -15, 0, -36, -12, -63
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Organization.cs", "C#", 0, -20, 0, -51, -17, -88
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Permission.cs", "C#", 0, -13, 0, -30, -10, -53
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Role.cs", "C#", 0, -13, 0, -30, -10, -53
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Skill.cs", "C#", 0, -17, 0, -42, -14, -73
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Tag.cs", "C#", 0, -14, 0, -31, -10, -55
"d:\github\pecus-aspire\pecus.Libs\DB\Models\User.cs", "C#", 0, -26, 0, -66, -22, -114
"d:\github\pecus-aspire\pecus.Libs\DB\Models\UserSkill.cs", "C#", 0, -11, 0, -25, -8, -44
"d:\github\pecus-aspire\pecus.Libs\DB\Models\Workspace.cs", "C#", 0, -19, 0, -48, -16, -83
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItem.cs", "C#", 0, -34, 0, -79, -26, -139
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemAttachment.cs", "C#", 0, -17, 0, -43, -14, -74
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemPin.cs", "C#", 0, -16, 0, -19, -7, -42
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemRelation.cs", "C#", 0, -31, 0, -41, -12, -84
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceItemTag.cs", "C#", 0, -11, 0, -25, -8, -44
"d:\github\pecus-aspire\pecus.Libs\DB\Models\WorkspaceUser.cs", "C#", 0, -12, 0, -27, -9, -48
"d:\github\pecus-aspire\pecus.Libs\DB\Seed\DatabaseSeeder.cs", "C#", 0, -504, 0, -67, -86, -657
"d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\EmailTasks.cs", "C#", 0, -105, 0, -40, -23, -168
"d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\HangfireTasks.cs", "C#", 0, -110, 0, -44, -25, -179
"d:\github\pecus-aspire\pecus.Libs\Hangfire\Tasks\ImageTasks.cs", "C#", 0, -127, 0, -28, -17, -172
"d:\github\pecus-aspire\pecus.Libs\Image\ThumbnailHelper.cs", "C#", 0, -29, 0, -14, -6, -49
"d:\github\pecus-aspire\pecus.Libs\Mail\Configuration\EmailSettings.cs", "C#", 0, -12, 0, -27, -9, -48
"d:\github\pecus-aspire\pecus.Libs\Mail\Models\EmailAttachment.cs", "C#", 0, -18, 0, -21, -6, -45
"d:\github\pecus-aspire\pecus.Libs\Mail\Models\EmailMessage.cs", "C#", 0, -16, 0, -39, -13, -68
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\EmailService.cs", "C#", 0, -174, 0, -37, -32, -243
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\IEmailService.cs", "C#", 0, -19, 0, -25, -5, -49
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\ITemplateService.cs", "C#", 0, -5, 0, -10, -2, -17
"d:\github\pecus-aspire\pecus.Libs\Mail\Services\RazorTemplateService.cs", "C#", 0, -41, 0, -12, -11, -64
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\PasswordResetEmailModel.cs", "C#", 0, -9, 0, -18, -5, -32
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\PasswordSetupEmailModel.cs", "C#", 0, -10, 0, -21, -6, -37
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\Models\WelcomeEmailModel.cs", "C#", 0, -10, 0, -21, -7, -38
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\_Layout.html.cshtml", "ASP.NET Razor", 0, 0, -40, -4, -1, -45
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-reset.html.cshtml", "ASP.NET Razor", 0, 0, -12, 0, -7, -19
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-reset.text.cshtml", "ASP.NET Razor", 0, 0, -9, 0, -7, -16
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-setup.html.cshtml", "ASP.NET Razor", 0, 0, -21, 0, -8, -29
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\password-setup.text.cshtml", "ASP.NET Razor", 0, 0, -12, 0, -7, -19
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\test-email.html.cshtml", "ASP.NET Razor", 0, 0, -10, 0, -7, -17
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\test-email.text.cshtml", "ASP.NET Razor", 0, 0, -10, 0, -7, -17
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\welcome.html.cshtml", "ASP.NET Razor", 0, 0, -23, 0, -10, -33
"d:\github\pecus-aspire\pecus.Libs\Mail\Templates\welcome.text.cshtml", "ASP.NET Razor", 0, 0, -16, 0, -8, -24
"d:\github\pecus-aspire\pecus.Libs\Security\PasswordHasher.cs", "C#", 0, -17, 0, -9, -4, -30
"d:\github\pecus-aspire\pecus.Libs\SerilogHelper.cs", "C#", 0, -27, 0, -7, -3, -37
"d:\github\pecus-aspire\pecus.Libs\pecus.Libs.csproj", "XML", -23, 0, 0, 0, -3, -26
"d:\github\pecus-aspire\pecus.ServiceDefaults\Extensions.cs", "C#", 0, 97, 0, 27, 26, 150
"d:\github\pecus-aspire\pecus.ServiceDefaults\pecus.ServiceDefaults.csproj", "XML", 23, 0, 0, 0, 6, 29
"Total", "-", 0, -1746, -153, -1113, -561, -3573
