"filename", "language", "C#", "JSON", "XML", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.ServiceDefaults\Extensions.cs", "C#", -97, 0, 0, -27, -26, -150
"d:\github\pecus-aspire\pecus.ServiceDefaults\pecus.ServiceDefaults.csproj", "XML", 0, 0, -23, 0, -6, -29
"d:\github\pecus-aspire\pecus.WebApi\AppHost.cs", "C#", 190, 0, 0, 23, 30, 243
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Admin\AdminOrganizationController.cs", "C#", 167, 0, 0, 19, 14, 200
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Admin\AdminUserController.cs", "C#", 387, 0, 0, 95, 48, 530
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Admin\AdminWorkspaceController.cs", "C#", 719, 0, 0, 51, 46, 816
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Backend\BackendGenreController.cs", "C#", 236, 0, 0, 35, 12, 283
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Backend\BackendHangfireTestController.cs", "C#", 157, 0, 0, 49, 13, 219
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Backend\BackendOrganizationController.cs", "C#", 307, 0, 0, 31, 21, 359
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Backend\BackendPermissionController.cs", "C#", 207, 0, 0, 19, 17, 243
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Backend\BackendRoleController.cs", "C#", 233, 0, 0, 23, 18, 274
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Backend\BackendSpecsController.cs", "C#", 92, 0, 0, 19, 10, 121
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Dev\TestEmailConfig.cs", "C#", 5, 0, 0, 6, 2, 13
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Dev\TestEmailController.cs", "C#", 103, 0, 0, 14, 14, 131
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Entrance\EntranceAuthController.cs", "C#", 87, 0, 0, 12, 9, 108
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Entrance\EntranceOrganizationController.cs", "C#", 79, 0, 0, 10, 6, 95
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Entrance\EntrancePasswordController.cs", "C#", 144, 0, 0, 37, 14, 195
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Entrance\RefreshController.cs", "C#", 100, 0, 0, 24, 17, 141
"d:\github\pecus-aspire\pecus.WebApi\Controllers\FileDownloadController.cs", "C#", 77, 0, 0, 12, 12, 101
"d:\github\pecus-aspire\pecus.WebApi\Controllers\FileUploadController.cs", "C#", 148, 0, 0, 20, 16, 184
"d:\github\pecus-aspire\pecus.WebApi\Controllers\MasterDataController.cs", "C#", 91, 0, 0, 11, 12, 114
"d:\github\pecus-aspire\pecus.WebApi\Controllers\Profile\ProfileController.cs", "C#", 169, 0, 0, 24, 19, 212
"d:\github\pecus-aspire\pecus.WebApi\Controllers\TagController.cs", "C#", 263, 0, 0, 16, 24, 303
"d:\github\pecus-aspire\pecus.WebApi\Controllers\WorkspaceItemAttachmentController.cs", "C#", 300, 0, 0, 48, 39, 387
"d:\github\pecus-aspire\pecus.WebApi\Controllers\WorkspaceItemController.cs", "C#", 439, 0, 0, 32, 36, 507
"d:\github\pecus-aspire\pecus.WebApi\Controllers\WorkspaceItemPinController.cs", "C#", 203, 0, 0, 22, 21, 246
"d:\github\pecus-aspire\pecus.WebApi\Controllers\WorkspaceItemRelationController.cs", "C#", 263, 0, 0, 15, 19, 297
"d:\github\pecus-aspire\pecus.WebApi\Controllers\WorkspaceItemTagController.cs", "C#", 100, 0, 0, 12, 10, 122
"d:\github\pecus-aspire\pecus.WebApi\Exceptions\DuplicateException.cs", "C#", 8, 0, 0, 3, 3, 14
"d:\github\pecus-aspire\pecus.WebApi\Exceptions\NotFoundException.cs", "C#", 8, 0, 0, 3, 3, 14
